NTACode,n_rides_start,avg_ride_duration_secs_start,n_rides_end,avg_ride_duration_secs_end,primary_property_type,multifamily_housing_gross,site_eui_kbtu_ft,largest_property_use_type_residential,occupancy_residential,occupancy_non_residential,year_built_residential,year_built_non_residential,total_ghg_emissions_intensity,OOcHU1E,ROcHU1E,MdVlE,EA_LTHSGrE,EA_BchDHE,EA_HScGrdE,MgBSciArtE,SrvcE,SalesOffE,NRCnstMntE,PrdTrnsMME,MdHHIncE,MnHHIncE,PvU50E,Pv50t74E,Pv75t99E,Pv100t124E,Pv125t149E,Pv150t174E,Pv175t184E,Pv185t199E,Pv200t299E,Pv300t399E,Pv400t499E,Pv500plE,Pop_1E,station_count
BK09,252137.0,2181.727413002298,252301.0,1800.9818748380287,91,8641796.0,72.55494505494505,1,98.52564102564102,88.84615384615384,1941.948717948718,1920.3846153846155,4.397802197802197,4817,6335,768459.0,562,14542,1739,10584,753,2089,267,180,116189.0,178252.0,1603,344,344,458,362,418,89,171,1452,1133,1583,14382,24140,81.0
BK17,,,,,91,8491196.0,85.09230769230768,1,99.35897435897436,95.38461538461539,1954.628205128205,1979.3076923076924,5.006593406593407,13992,12206,467326.0,6990,19703,12123,12523,5691,6605,2109,2778,54371.0,73419.0,3842,2319,4449,3392,3287,2949,774,1037,9755,8100,7387,18824,66293,
BK19,,,,,93,7225352.0,76.43440860215054,1,99.6195652173913,100.0,1950.608695652174,1930.0,4.3247311827956985,4380,9717,566383.0,3306,10472,6344,5165,3561,2463,1323,1604,35699.0,61590.0,1963,2440,4696,2359,2139,1588,559,708,4291,3002,2401,7733,34157,
BK21,,,,,23,3043205.0,119.86521739130436,1,98.52941176470588,96.66666666666667,1974.6470588235295,1981.3333333333333,7.691304347826088,1687,9294,433588.0,5532,4594,5653,2462,2907,2215,804,1260,26033.0,51426.0,3488,2839,3004,2803,1886,1855,713,454,4289,2683,1552,3473,29677,
BK23,,,,,12,7340578.0,75.58333333333333,1,99.44444444444444,98.33333333333333,1959.7777777777778,2008.0,4.416666666666667,3404,4728,282390.0,749,6926,2659,2931,1332,1917,307,622,40910.0,58592.0,460,565,1455,1126,364,844,104,313,2032,2127,1677,4687,15754,
BK25,,,,,72,5477390.0,81.02638888888889,1,98.50746268656717,97.0,1949.402985074627,1960.6,4.651388888888889,5759,9816,641274.0,4540,10874,7609,7049,3309,5275,974,1708,52093.0,75661.0,2704,2083,3749,2379,2593,2570,1023,1257,6440,5236,3759,10614,44516,
BK26,,,,,24,2319661.0,72.64999999999999,1,98.57142857142857,100.0,1963.952380952381,1980.0,4.325,3812,7563,515440.0,4629,6545,5697,3926,2810,2991,1082,1534,38573.0,60829.0,2071,1700,2715,2651,1914,1491,872,477,4607,2946,2912,5823,30288,
BK27,,,,,11,919787.0,76.61818181818181,1,100.0,100.0,1931.9,1926.0,4.327272727272727,4466,6962,685011.0,5472,8009,6188,5343,3001,3601,1304,1608,58243.0,75950.0,1644,986,2092,1876,2001,1583,587,873,4992,4593,3464,8268,33163,
BK28,,,,,78,3599296.0,88.54743589743589,1,98.5,100.0,1935.7285714285715,1964.0,5.1179487179487175,10333,19576,708946.0,18286,17059,18127,11668,10909,10108,3787,5312,51035.0,70198.0,5356,4973,6378,6117,6202,4862,1754,2812,16161,11321,7969,17583,91646,
BK29,,,,,68,3381723.0,86.65882352941176,1,98.73015873015873,82.0,1941.2698412698412,1963.4,4.905882352941177,7649,14538,657026.0,11556,13888,12871,9250,7170,6397,2655,3786,48097.0,65715.0,4427,3540,4413,4282,3757,3263,1182,1255,11313,8209,5634,12868,64267,
BK30,,,,,11,454748.0,93.9,1,100.0,100.0,1935.2,1917.0,5.345454545454545,6929,7978,767503.0,9017,8612,8975,6538,5120,4828,1649,2501,56310.0,76957.0,2158,3290,2557,3827,3153,2459,704,1541,6134,5163,3305,11318,45877,
BK31,8651.0,4971.726630756697,9071.0,2947.9127160198805,144,9242607.0,82.70277777777778,1,98.67647058823529,95.0,1938.6691176470588,1949.125,4.729166666666667,12058,21429,687001.0,8006,27010,11165,18772,6515,8832,1998,2789,63539.0,86319.0,4393,2784,5089,4719,2709,2390,975,1191,9807,8866,7564,28491,79134,8.0
BK32,83256.0,1959.6817696092712,89214.0,2761.422835234228,38,972129.0,60.892105263157895,0,97.85714285714286,88.26086956521739,1946.2142857142858,1956.125,3.7473684210526317,3794,12960,700654.0,15040,9211,8752,7346,7904,5106,2745,3840,47397.0,66976.0,5824,4565,5902,4315,3771,3112,1004,1711,7734,5172,4433,7325,57377,89.0
BK33,344850.0,2085.82681352224,363347.0,2018.1375541319476,40,2200762.0,74.52250000000001,1,98.75,98.33333333333333,1958.107142857143,1971.3333333333333,4.55,5209,12902,1099629.0,4025,19810,4198,15715,2279,3618,547,729,91757.0,138368.0,3031,1574,1139,1499,1158,1153,362,877,2763,3944,2337,22145,42463,229.0
BK34,31154.0,1937.8073627723206,27663.0,2446.9548091566307,42,1483438.0,86.41190476190476,1,99.1891891891892,98.0,1937.1891891891892,1965.0,5.007142857142857,4274,15649,668624.0,25234,6968,9466,5256,13285,7110,2633,4135,39200.0,51842.0,8485,8186,8889,7654,5949,4259,1476,1987,10318,6077,3144,5302,71850,24.0
BK35,105769.0,3290.1357437894844,104266.0,2177.0809134450483,42,2644974.0,71.15,1,98.42857142857143,95.0,1977.1944444444443,1985.8333333333333,4.314285714285715,6338,19148,640583.0,9311,12045,12834,11122,7417,7104,1426,2163,41269.0,60491.0,9182,5514,4458,3771,3581,2916,652,1201,11009,7179,5267,12088,67371,48.0
BK37,578812.0,1770.73528815924,552397.0,1758.089840385728,84,4243878.0,72.72857142857143,1,98.45588235294117,90.66666666666667,1955.2794117647059,1958.0,4.4523809523809526,12243,18904,997876.0,3653,41918,4045,33620,3199,6390,645,1441,113781.0,160700.0,2271,1211,1849,1499,1687,1796,433,999,4850,6074,5928,44919,73881,226.0
