,station_id,lat,lng,geometry,index_right,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area
0,72,40.76727216,-73.99392888,POINT (-73.99392888 40.76727216),139.0,1.0,Manhattan,61.0,MN15,Clinton,34570.9389449,18373850.6794
1,79,40.71911552,-74.00666661,POINT (-74.00666661 40.71911552),144.0,1.0,Manhattan,61.0,MN24,SoHo-TriBeCa-Civic Center-Little Italy,26855.0315134,25032679.8465
2,82,40.71117416,-74.00016545,POINT (-74.00016545 40.71117416),85.0,1.0,Manhattan,61.0,MN27,Chinatown,20786.2546133,14501876.7432
3,83,40.68382604,-73.97632328,POINT (-73.97632328 40.68382604),6.0,3.0,Brooklyn,47.0,BK68,Fort Greene,19825.5208594,16482821.6487
4,116,40.74177603,-74.00149746,POINT (-74.00149746 40.74177603),138.0,1.0,Manhattan,61.0,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,45412.9609168,37054369.1883
5,119,40.69608941,-73.97803415,POINT (-73.97803415 40.69608941),6.0,3.0,Brooklyn,47.0,BK68,Fort Greene,19825.5208594,16482821.6487
6,120,40.68676793,-73.95928168,POINT (-73.95928168 40.68676793),16.0,3.0,Brooklyn,47.0,BK75,Bedford,29992.9240956,32629788.7441
7,127,40.73172428,-74.00674436,POINT (-74.00674436 40.73172428),179.0,1.0,Manhattan,61.0,MN23,West Village,27119.9227783,24886380.5404
8,128,40.72710258,-74.00297088,POINT (-74.00297088 40.72710258),144.0,1.0,Manhattan,61.0,MN24,SoHo-TriBeCa-Civic Center-Little Italy,26855.0315134,25032679.8465
9,143,40.69239502,-73.99337909,POINT (-73.99337909 40.69239502),39.0,3.0,Brooklyn,47.0,BK09,Brooklyn Heights-Cobble Hill,14264.5743374,9985082.73229
10,144,40.69839895,-73.98068914,POINT (-73.98068914 40.69839895),161.0,3.0,Brooklyn,47.0,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32542.6643111,28476938.3452
11,146,40.71625008,-74.0091059,POINT (-74.0091059 40.71625008),144.0,1.0,Manhattan,61.0,MN24,SoHo-TriBeCa-Civic Center-Little Italy,26855.0315134,25032679.8465
12,150,40.7208736,-73.98085795,POINT (-73.98085795 40.7208736),192.0,1.0,Manhattan,61.0,MN28,Lower East Side,26879.1134206,23300685.8847
13,151,40.722103786686034,-73.99724900722504,POINT (-73.99724900722504 40.722103786686034),144.0,1.0,Manhattan,61.0,MN24,SoHo-TriBeCa-Civic Center-Little Italy,26855.0315134,25032679.8465
14,152,40.71473993,-74.00910627,POINT (-74.00910627 40.71473993),144.0,1.0,Manhattan,61.0,MN24,SoHo-TriBeCa-Civic Center-Little Italy,26855.0315134,25032679.8465
15,157,40.69089272,-73.99612349,POINT (-73.99612349 40.69089272),39.0,3.0,Brooklyn,47.0,BK09,Brooklyn Heights-Cobble Hill,14264.5743374,9985082.73229
16,161,40.72917025,-73.99810231,POINT (-73.99810231 40.72917025),179.0,1.0,Manhattan,61.0,MN23,West Village,27119.9227783,24886380.5404
17,164,40.75323098,-73.97032517,POINT (-73.97032517 40.75323098),69.0,1.0,Manhattan,61.0,MN19,Turtle Bay-East Midtown,21251.841515,17390168.5038
18,168,40.73971301,-73.99456405,POINT (-73.99456405 40.73971301),138.0,1.0,Manhattan,61.0,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,45412.9609168,37054369.1883
19,173,40.76068327096592,-73.9845272898674,POINT (-73.9845272898674 40.76068327096592),105.0,1.0,Manhattan,61.0,MN17,Midtown-Midtown South,27032.7303299,30191277.4686
20,174,40.7381765,-73.97738662,POINT (-73.97738662 40.7381765),177.0,1.0,Manhattan,61.0,MN20,Murray Hill-Kips Bay,24230.2074022,14459388.994
21,212,40.74334935,-74.00681753,POINT (-74.00681753 40.74334935),138.0,1.0,Manhattan,61.0,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,45412.9609168,37054369.1883
22,216,40.70037867,-73.99548059,POINT (-73.99548059 40.70037867),39.0,3.0,Brooklyn,47.0,BK09,Brooklyn Heights-Cobble Hill,14264.5743374,9985082.73229
23,217,40.70277159,-73.99383605,POINT (-73.99383605 40.70277159),161.0,3.0,Brooklyn,47.0,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32542.6643111,28476938.3452
24,223,40.73781509,-73.99994661,POINT (-73.99994661 40.73781509),179.0,1.0,Manhattan,61.0,MN23,West Village,27119.9227783,24886380.5404
25,224,40.71146364,-74.00552427,POINT (-74.00552427 40.71146364),145.0,1.0,Manhattan,61.0,MN25,Battery Park City-Lower Manhattan,43727.7251789,19011672.5445
26,228,40.7546011026,-73.971878855,POINT (-73.971878855 40.7546011026),69.0,1.0,Manhattan,61.0,MN19,Turtle Bay-East Midtown,21251.841515,17390168.5038
27,229,40.72743423,-73.99379025,POINT (-73.99379025 40.72743423),179.0,1.0,Manhattan,61.0,MN23,West Village,27119.9227783,24886380.5404
